"","H2O_30m_A","H2O_30m_B","H2O_30m_C","PNA79_30m_A","PNA79_30m_B","PNA79_30m_C","PNAscr_30m_A","PNAscr_30m_B","PNAscr_30m_C","H2O_16h_A","H2O_16h_B","H2O_16h_C","PNA79_16h_A","PNA79_16h_B","PNA79_16h_C","PNAscr_16h_A","PNAscr_16h_B","PNAscr_16h_C"
"cds-C4N14_08225",115.10401035679,136.045631436547,108.621497913897,112.958306722715,118.143014160409,85.8418496334671,97.2995553458545,121.24234717737,112.908947631278,139.363638607115,142.441757148481,122.585231328998,99.6724078237387,114.838906130476,103.156208389375,117.568081658576,104.739255785646,127.096900737988
"cds-C4N14_08230",166.261348293141,183.123005364736,215.285851721236,396.322287587127,254.624645444225,314.557462697979,357.142166327613,362.43033193663,320.61880412278,108.641302939732,153.557901535749,141.321835792292,96.4044600262391,171.500346613995,172.647666136708,179.666356243818,160.287870675159,222.249660648781
"cds-C4N14_08240",125.113054735641,216.23675143287,244.153727292948,218.81637702286,159.404902688074,194.614056360806,191.582070215869,231.462662793161,186.406281466732,190.567531386087,238.609331847637,194.342439911827,214.750855264261,361.192995189254,331.397040723949,235.136163317152,257.665261836894,232.104767925256
"cds-C4N14_08245",72.2875427361481,84.9786495483418,96.8786332745564,70.3568881872913,66.6538199293054,44.6847984393391,59.9636794573289,57.7035769988552,48.4656331813504,43.8572472932933,56.3562668935915,51.4259994843603,38.981948727317,49.6498241026152,75.6684762137628,76.0529430313637,63.9143701439568,78.1611956410085
"cds-C4N14_08250",607.215358983644,542.985643358184,528.428908770308,424.72323327741,668.301527862612,491.53278283273,464.624233279429,464.222035181801,458.559452408162,221.512492674248,182.253064954046,189.757951585702,552.283177777437,553.159681509671,492.30837177444,426.663987740173,421.29943461383,463.52987327972
"cds-C4N14_08255",398.137543069862,394.971188041589,368.432378059298,343.393252437055,402.038913859302,338.075777666052,361.667727041374,352.056655172791,346.183094152503,266.260242450654,222.064372759611,232.812276735399,352.704937287281,395.682567657483,340.971419346915,391.079583202563,321.579631980851,380.611039643172
"cds-C4N14_08260",1209.42619577786,672.647902058705,961.447042345977,2799.4295786081,1105.60701311308,2154.2776510755,2015.38303786142,2021.57025935315,2153.79143500419,658.526586261734,660.764303578073,621.497156559052,339.633146097283,391.703001603457,428.376230646894,703.315289684538,626.427753452812,736.074564167063
"cds-C4N14_08265",41.704351578547,37.9012756201524,56.7571790901442,43.2468945738396,34.9139056772552,41.1570511941281,53.1753383866879,58.3519317965951,68.7040294548814,285.85129707913,253.344686035411,235.602834846953,107.608852474809,111.23834636731,98.8322954628738,100.124746100924,125.820959026847,117.581624746908
"cds-C4N14_08270",54.4936860626347,53.0617858682134,59.20360922334,58.0928434573965,54.6631856563087,55.268040174972,49.4040377918874,48.626609830496,45.270096927635,49.4228878127468,36.96764296231,45.2469065230612,19.1408370996407,22.9298805970093,21.9284155558251,39.7708050714471,39.4863648009785,43.8382358160439
"cds-C4N14_08275",33.9195392838849,34.310628456138,33.760735838103,27.7554696518672,45.4938770946053,31.7497252068988,33.564575293725,44.7364810440563,35.1508987908695,86.823992103474,68.2479562381108,79.1322550205079,188.140423198907,129.809654619433,122.613816558628,61.7494078740889,50.8637919470232,54.0331743779146
"cds-C4N14_08280",472.649317890199,661.078038974659,554.850354208823,524.772019231815,680.644827849521,675.563597457902,636.595540402335,645.113023751246,630.053231357556,139.363638607115,130.291552818212,156.071928667652,207.047835455869,249.954648821944,221.446112021502,198.854025357235,199.774235476137,266.087896464825
"cds-C4N14_08285",236.3246589451,204.666888348823,181.035829856494,178.796862641098,184.091502661891,184.618772499375,169.708526766025,170.517311805606,191.732175222925,900.075384806014,772.701292408005,742.089132094083,499.996013017443,489.107618354389,460.187875749006,362.12364617686,353.034871737562,309.246469710077
"cds-C4N14_08290",20.5741467787498,18.7511574120754,20.0607270922061,31.6283258823603,18.3386171234068,21.7544413454677,23.0049336282834,25.9341919095978,25.0317006541041,446.586995280946,359.852860164584,343.637298879989,214.050580736226,198.97830270132,167.397200440243,124.196549170484,138.536907013603,105.007867187268
"cds-C4N14_08295",229.651962692532,151.60510248061,182.503687936412,400.19514381762,239.812685459935,290.451189855704,376.375799361096,342.331333206692,306.77148035668,907.644655912471,792.606946310787,736.906667029768,502.09683660155,404.210209201825,416.639895560678,366.310046710697,358.054324890229,306.867650712307
"cds-C4N14_08300",69.5072526309116,74.2067080562985,63.6071834630926,60.6747476110586,53.6051885145737,70.5549449042196,57.3237690409685,47.3299002350161,64.4433144499275,34.5069712206115,48.0837873495781,46.8415111582352,21.9419352117832,18.0027988158338,17.9133535526459,60.7028077406297,69.6030837169791,47.2365486700008
"cds-C4N14_08305",61.1663823152022,86.1755319363466,75.3500481024328,49.0561789195793,73.3544684936271,69.9669870300177,67.8834107064101,80.3959949197533,69.7692082061199,68.5686911996667,65.1457764091058,59.7976738190236,51.5868902319584,49.0813146663257,52.1958060413302,63.144874718701,49.5252711063121,52.3340179509361
"cds-C4N14_08310",19.4620307366553,12.3677846760497,22.507157225402,18.0733290756345,22.2179399764351,15.8748626034494,16.2165925576424,24.6374823141179,19.7058068979117,23.8209414232608,23.2663487175378,16.9426742487234,14.9391899314269,20.4663397064215,12.0451860095377,21.6297360914888,18.4046615597781,18.6907206967629
"cds-C4N14_08315",29.4710751155065,25.9324517401043,36.696451997938,25.1735654982051,26.4499285433752,22.3423992196695,30.9246648773646,29.8243206960375,30.3575944102964,32.2807150128301,31.2803132758008,24.9156974245932,14.2389154033912,16.1077673615355,14.5159933961096,16.7456021353461,26.435786604045,20.3898771237413
"cds-C4N14_08320",16.1256826103715,16.3573926360658,15.1678668258144,12.9095207683103,13.4012971286434,18.2266941002567,15.0852023792022,11.0220315615791,13.3147343904809,26.0471976310422,20.939713845784,21.128511416055,7.46959496571344,8.71714468977214,14.5159933961096,10.4660013345913,14.3890990376447,12.2339262742448
"cds-C4N14_08325",494.891638732091,456.411150625836,417.360980723215,315.637782785188,435.894822394823,305.15013671075,331.120192223489,350.759945577311,366.421490426034,411.634772818778,362.438010022088,356.194810381984,387.251814003706,388.860454422009,342.206823040201,398.405784136777,378.132137500896,339.831285395689
"cds-C4N14_08330",409.814761511855,327.147852721316,343.968076727339,308.537546362617,361.835022473372,319.849083565795,344.319744305291,385.122749857528,360.030417918603,381.58031401373,330.382151789036,327.093275790059,306.486818436929,303.773542124016,287.540209612299,296.187837768935,269.711949403294,311.965119993243
